ID;lat;lon;r_end;r_young;r_old;r_st_young;r_st_old
40088;-17.6333;-65.7333;1;1;0;0.725;0
40089;-17.6333;-65.4667;1;1;0;0.736;0
40090;-17.6333;-65.2;1;1;0;0.64;0
40091;-17.6333;-64.9333;2;1;1;0.472;0.448
40092;-17.6333;-64.6667;2;1;1;0.45;0.414
40093;-17.6333;-64.4;1;0;1;0;0.495
40206;-17.9;-66.5333;1;1;0;0.857;0
40207;-17.9;-66.2667;1;1;0;0.872;0
40208;-17.9;-66;1;1;0;0.686;0
40209;-17.9;-65.7333;1;1;0;0.681;0
40210;-17.9;-65.4667;1;1;0;0.655;0
40212;-17.9;-64.9333;1;1;0;0.649;0
40213;-17.9;-64.6667;1;1;0;0.585;0
40215;-17.9;-64.1333;1;0;1;0;0.49
40216;-17.9;-63.8667;1;0;1;0;0.615
40217;-17.9;-63.6;1;0;1;0;0.614
40327;-18.1667;-66;1;1;0;0.922;0
40328;-18.1667;-65.7333;1;1;0;0.903;0
40335;-18.1667;-63.8667;1;0;1;0;0.815
40336;-18.1667;-63.6;1;0;1;0;0.794
40444;-18.4333;-66;1;1;0;0.916;0
40445;-18.4333;-65.7333;1;1;0;0.892;0
40446;-18.4333;-65.4667;1;1;0;0.907;0
40447;-18.4333;-65.2;1;1;0;0.921;0
40452;-18.4333;-63.8667;1;0;1;0;0.834
40453;-18.4333;-63.6;1;0;1;0;0.802
40560;-18.7;-66;1;1;0;0.929;0
40561;-18.7;-65.7333;1;1;0;0.926;0
40562;-18.7;-65.4667;1;1;0;0.911;0
40568;-18.7;-63.8667;1;0;1;0;0.774
40569;-18.7;-63.6;1;0;1;0;0.785
40676;-18.9667;-65.7333;1;1;0;0.924;0
40677;-18.9667;-65.4667;1;1;0;0.922;0
40678;-18.9667;-65.2;1;1;0;0.916;0
40683;-18.9667;-63.8667;1;0;1;0;0.778
40798;-19.2333;-63.8667;1;0;1;0;0.88
40914;-19.5;-63.8667;1;0;1;0;0.88
41029;-19.7667;-63.8667;1;0;1;0;0.884
41030;-19.7667;-63.6;1;0;1;0;0.874
41143;-20.0333;-63.8667;1;0;1;0;0.865
